Text,Category
stopped booking shows overseasThe year I turned 30. I lived in New York City with my cello. two adopted tabby cats and my boyfriend. Brian. He and I ran a contemporary classical ensemble. We pieced together gigs and part-time jobs to support ourselves while focusing on presenting works by living composers. After securing artist management. we booked many concerts around the country for the upcoming season. I had also committed to a three-week tour in East Asia with another band. Finally. my dream of performing for a living and traveling the world to play music felt within reach. Yet something stood in my way.For five years. I had not boarded an airplane because I felt too afraid. Until I was 25. I flew occasionally. but never comfortably. A psychiatrist diagnosed me with panic disorder as a teenager. and flying emerged as a top trigger. Every bit of turbulence made me brace for a nosedive. I trembled in my seat and stared out the window as though fixating on the earth would help the aircraft stay up. During a trip to visit a college boyfriend in Slovenia. I hyperventilated until a flight attendant asked me to lie on the floor with an oxygen mask.Did I inherit a distrust of planes from my father. who couldn t travel by air until his 30s? Or did the crash scene in the movie  Alive  trigger my catastrophic thinking? Whatever the reason. I irrationally believed that jetting through the sky put me in danger. and I inadvertently gathered  evidence  to prove myself right. Landing was always my favorite part because. from my distorted view. it felt miraculous.needWhen Brian optimistically surprised me with tickets to the Bahamas (with a secret plan to propose). we got as far as the jetway before I froze. He squeezed my hand and reasoned with me. In desperation. he tried to pull me forward. but I flailed my limbs in all directions and cried  Noooo!  until he let go. I sank to the linoleum floor and propped myself against my carry-on. Brian sat next to me in silence. After our flight departed. he turned to me and said.  I think you need to find some help.  I know. I m so sorry.  I said. My heart ached.With four months before the tour abroad. I promised to change. Practicing religiously on a flight simulator program made me believe that I could fly a real plane. but I still could not set foot on one. A neurolinguistic programming practitioner in Australia hypnotized me over the phone. Six sessions later. I felt the same. My therapist recommended a support group at LaGuardia Airport. I made some phobic friends. but I still did not fly.As a last-ditch effort. I booked a $49  test  flight from New York to Boston to visit my grandma.A week later. I watched as other passengers departed and the waiting area emptied. I saw an apparition of myself give a ticket to the attendant and walk casually down the jetway. The real me drifted out the airport exit and slid into a taxi. The shabby seats felt soothing. as did the bouquet of dirty leather. sweat and gasoline that invaded my nostrils. Nice trip?  the driver asked. Oh yeah.  I said.What a sham. I wanted to change myself without taking a risk.The next day. I backed out of the China tour. knowing they would never hire me again. Then Brian gently suggested I sub out of next season s concerts.For weeks. I disappeared into our beige sectional couch. numbing myself with reruns of  Dawson s Creek.  Vibrant images of my bandmates in Beijing peppered my Facebook feed. while I felt humiliated and powerless. I worried Brian might leave me. Unwilling to accept my failure to conquer a self-created problem. I decided to try once more. A Google search led me to a program at the Anxiety and Phobia Treatment Center in White Plains. New York. that ended with a graduation flight. I signed up immediately.Dr. Martin Sief. a psychiatrist and recovered aviophobe. founded Freedom to Fly to help others overcome their phobias as he had. For six weeks. we met pilots. accepted our fears. discussed panic management and boarded a stationary plane for desensitization. Most importantly. I had an individual counselor. Barbara Bonder. who put me so at ease that I wanted to adopt her as my second mother. Having tackled a different phobia than mine. she knew how to listen intently and when to steer me back on track. Leigh. you re not getting it. You re justifying your fears.  she said.  Label your anxious thinking — give it a name. if you want. Then tell that voice to shut up. I named my  what if  voice  Fred.  Fred wondered if the graduation flight would crash. Stop it. Fred. Go away.  I said. What will it feel like as your body explodes?  he asked. SHUT UP. FRED.  I said.  This is anxiety. I m not in danger.  How can you be wrong if you feel something so strongly?  he asked.  Because I m broken. My mind is clearly broken.  I said. out loud. while walking down Broadway. If I couldn t trust my own thoughts. feelings and instincts. then who or what could I trust? Nothing made sense anymore. I only knew that Barbara expected to see me at LaGuardia s Delta terminal at 10:30 a.m. on Saturday. May 20 ― two days from now ― and that I had to show up. I clung to this thought like a castaway to driftwood.Two days later. I met the class and Barbara at LaGuardia. From the security line. I called Brian. my mom. my dad and my grandma to say that I loved them. just in case. When we reached the jetway. I stopped dead. but Barbara hooked her arm in mine and pulled me forward. This time. I didn t resist.A flight attendant welcomed us as we stepped onto the plane. and I just stared in response. Barbara nudged me down the aisle to my window seat and sat down next to me. Immediately. I buckled and tightened my seat belt. and she asked to see my comfort items. Fat teardrops fell on a photo of Brian holding a puppy.  Hey! Stop crying.  Barbara said.  Look around you. Do you see anyone else crying?  She put her face close to mine. I think of this as our  Moonstruck  moment. like when Cher slapped Nicolas Cage and told him to  snap out of it. As the plane bumped and bounced along the runway. I circled words in a magazine that started with the letters  th  ― a way to keep my mind occupied so catastrophic thoughts couldn t take over ― and read affirming cue cards. The buildings along the horizon began to blur. Then the nose tilted upward. and with a shudder. we lifted from the ground.For the next three minutes. I closed my eyes and measured time with a 5-5-5 breathing method. Inhale. hold. exhale. repeat. By the time we reached 10.000 feet. the plane s engines slowed a bit as the upward tilt of its body eased. I opened my eyes and turned to Barbara.  I m flying.  I whispered.  You re flying.  she said with a grin. Once we landed. she hugged me and said:  The first 10 times are the hardest. Keep at it.  I hadn t thought about what came next. Forming a new habit would take repetition over time. This I knew from a lifetime of practicing the cello. I flew every week for nine weeks. Then I flew every month for six months to play concerts with Brian and our chamber group. Two months later I traveled from New York to New Delhi. India. and even fell asleep. Halfway across the Atlantic. the plane rocked and swayed so much that it woke me up. I looked at my friend. who sat next to me and seemed nervous.  Don t worry.  I said.  We re riding waves in the air. just like a boat rides waves in the ocean. It s normal.  With that. I fell back asleep. Leigh Stuart is a professional cellist in New York City who has toured the U.S. extensively and performed on Broadway. as well as at Carnegie Hall. Alice Tully Hall. the United Nations. the Library of Congress and Radio City Music Hall. She is a member of Chamber Orchestra of New York. the Brooklyn Chamber Orchestra and the instrumental music faculty of the Berkeley Carroll School. Leigh lives in Westbeth Artists Housing and is working on a memoir. You can learn more about her at leighstuart.com. on Instagram at @lstuartnyc and on Twitter at @leighstuartnyc.Do you have a compelling personal story you d like to see published on HuffPost? Find out what we re looking for here and send us a pitch.,Health News
John KellyDonald TrumpTrump s behavior was so disturbing that members of his own Cabinet tentatively discussed utilizing the 25th Amendment to force him out of office just months into his term. according to  The Divider: Trump in the White House. 2017-2021.  The book. written by Peter Baker of The New York Times and Susan Glasser of The New Yorker. is due out next week.But Cabinet members opted not to take action because they feared flaws in the amendment could make Trump more dangerous if they failed to get him out of the White House. according to the book. Donald TrumpThe Guardian Kelly told others that the book was a helpful guide to a president he came to consider a pathological liar whose inflated ego was in fact the sign of a deeply insecure person.  reported Baker and Glasser.Other unnamed senior officials reportedly shared Kelly s view.  The Divider  quotes one as saying:  I think there s something wrong with [Trump]. He doesn t listen to anybody. and he feels like he shouldn t. He just doesn t care what other people say and think. I ve never seen anything like it. ,Health News
Mississippi s capital city We have restored clean water.  Reeves said during a news conference.But a state health department official. Jim Craig. said concerns remain about copper and lead levels in the Jackson water. Craig said people should continue to avoid using city water to prepare baby formula.Emergency repairs are still underway after problems at Jackson s main water treatment plant caused most customers to lose service for several days in late August and early September.Problems started days after torrential rain fell in central Mississippi. altering the quality of the raw water entering Jackson s treatment plants. That slowed the treatment process. depleted supplies in water tanks and caused a precipitous drop in pressure.When water pressure drops. there s a possibility that untreated groundwater can enter the water system through cracked pipes. so customers are told to boil water to kill potentially harmful bacteria.But even before the rainfall. officials said some water pumps had failed and a treatment plant was using backup pumps. Jackson had already been under a boil-water notice for a month because the state health department had found cloudy water that could make people ill.The National Guard and volunteer groups have distributed millions of bottles of drinking water in Jackson since late August.Jackson is the largest city in one of the poorest statesLike many American cities. Jackson struggles with aging infrastructure with water lines that crack or collapse. Mayor Chokwe Antar Lumumba. a Democrat in a Republican-led state. said the city s water problems come from decades of deferred maintenance.Some equipment froze at Jackson s main water treatment plant during a cold snap in early 2020. leaving thousands of customers with dangerously low water pressure or no water at all. The National Guard helped distribute drinking water. People gathered water in buckets to flush toilets. Similar problems happened on a smaller scale earlier this year.Jackson frequently has boil-water notices because of loss of pressure or other problems that can contaminate the water. Some of the mandates are in place for only a few days. while others last weeks. Some only affect specific neighborhoods. usually because of broken pipes in the area. Others affect all customers on the water system.,Health News
The World Health Organization head said the end of the COVID-19 pandemic  is in sight.  saying reported global deaths last week reached their lowest point since March 2020. Speaking at the U.N. agency s COVID briefing on Wednesday. WHO Director-General Dr. Tedros Adhanom Ghebreyesus said  we have never been in a better position to end the pandemic.  We are not there yet. but the end is in sight.  he said.recordedhad projected that Tedros cautioned that we still risk more variants. more deaths and further uncertainty. A marathon runner does not stop when the finish line comes into view. she runs harder with all the energy she has left.  he said.  So must we. We can see the finish line. we are in a winning position. but now is the worst time to stop running. He added that WHO the agency has released six briefs laying out what governments around the world need to do to  finish the race  and prepare for  future pathogens with pandemic potential.  We urge all countries to invest in vaccinating 100% of the most at-risk groups. including health workers and older people at the highest priority on the road to 70% vaccine coverage.  he said.He added that leaders around the world should continue testing for COVID. and integrate surveillance for the virus with other respiratory diseases.The WHO chief also spoke about government actions to effectively communicate the evolution of the response to COVID. Communicate clearly with communities about any changes you make to your COVID-19 policies and why.  he said.Tedros added that governments should prioritize training health workers to identify and tackle misinformation around COVID and also make available high-quality information online. authorized,Health News
House Speaker Nancy Pelosi (D-Calif.) said Wednesday that there is clearly  conflict  within the Republican Party on the issue of abortion. considering that many GOP lawmakers have been muted in response to Sen. Lindsey Graham (R-S.C.) introducing a national abortion ban bill. There are those in the party that think that life begins at the candlelight dinner the night before.  Pelosi said at her weekly press conference. sending at least one reporter into a fit of laughter. And these people are in defiance of that.  she continued. referring to Republicans who don t want to talk about Graham s bill.  That s what you re seeing there. But we are united in our support for a woman s right to choose. ban abortion nationwideRepublicans Most of the members in my conference prefer this be dealt with at the state level.  Senate Minority Leader Mitch McConnell (R-Ky.) told reporters. I. for one. want to focus on the inflation numbers that came out today.  said Sen. Thom Tillis (R-N.C.).  That s what people are talking about. Pelosi said she noticed a clip of Graham on TV earlier in the day. a replay of footage from August showing him argue that abortion matters should be decided at the state level.probably at the insistence of the MAGA grassroots coming out and saying there should be a federal ban.  referencing former President Donald Trump s  Make America Great Again  slogan. You ll have to ask Republicans why they poured cold water on it.  she added.  But they know they are digging a hole. and they just keep digging it. ,Health News
Republicanslegislationabortionrolled it outAs prevalent as the expression is. it s a political construct that s meaningless in a medical sense. doctors and experts on reproductive rights have said for years ― and words matter when they re being used to legislate around people s bodies. The phrase ‘late-term abortion  is a political buzzword. not medical terminology.  Dr. Katie McHugh. an OB-GYN in Indiana and board chair with Physicians for Reproductive Health. told HuffPost. Abortion bans based on gestational age are especially offensive because they are based only in ideology. not in medical science or common sense.  she said.guideanother bill13 weeksIt s likely that the people behind these bans ― many of whom would like to see abortion banned at every stage of pregnancy ― aren t actually concerned with the specifics here. but rather with the powerful imagery that a phrase like  late-term abortion  invokes.guide Such misleading. harmful language has no basis in medicine and ignores the realities faced by those seeking abortion care.  Katherine Gillespie. acting director of federal policy and advocacy at the Center for Reproductive Rights. told HuffPost.Former President Donald Trump repeatedly brought up  late-term abortions  during his campaign rallies. then proceeded to describe doctors  ripping babies straight from the mother s womb. right up until the very moment of birth  ― an illustration that has no basis in reality.While there are any number of reasons someone might wait to seek out an abortion after the first trimester of pregnancy ― because laws in their state made the procedure complicated and time-consuming to access. say. or because a fetal anomaly came to light ― the anti-abortion movement s language around those circumstances is nearly always stigmatizing and full of violent descriptions of a generally safe procedure.tweetedLawmakers  descriptions of  late-term abortions  nearly always involve graphic and disturbing accounts of fetal pain. and Tuesday s bill is no exception. Though the proposed legislation rests on the argument that there s strong evidence from  recent medical research and analysis  that a fetus has the capacity for pain after 15 weeks of pregnancy. ACOG is unwavering in its position. The science conclusively establishes that a human fetus does not have the capacity to experience pain until after at least 24-25 weeks.  the group says.  Every major medical organization that has examined this issue and peer-reviewed studies on the matter have consistently reached the conclusion that abortion before this point does not result in the perception of pain in a fetus. CORRECTION: A previous version of this story referred to a claim that a fetus can experience pain  before 15 weeks of pregnancy.  It should have read  after 15 weeks of pregnancy. ,Health News
MADDOCK. N.D. (AP) — A woman walked into a North Dakota bar carrying a raccoon. leading health officials to warn those who had contact with the animal about possible rabies exposure.Bartender Cindy Smith said she was serving drinks at the Maddock Bar last week when a local resident brought in the animal during happy hour. There were about 10 people in the saloon at the time. she said.Smith said she immediately asked the woman to leave but instead she took the raccoon around the bar to show another customer. The woman eventually departed with the animal after about five minutes.The Bismarck Tribune.Maddock is town of about 500 people located about 85 miles (137 kilometers) from the Canadian border.Rabies is a viral infection that affects mammals. including humans. In an alert issued Tuesday. North Dakota s Health and Human Services Department is asking anyone who may have been bitten or had contact with the raccoon s saliva to seek medical care. Because rabies is such a serious disease with a nearly 100% fatality rate. we are making this information available to the public as a precautionary measure.  epidemiologist Amanda Bakken said in a statement.Six rabid animals have been reported in North Dakota this year. including two bats. two cats. one bovine and one skunk.Said Smith.  I had no idea what she was thinking. ,Health News
Ryan Reynoldscolonoscopy(Watch the video below.)The  Free Guy  star noted that he didn t normally like showing his medical procedures ― but raising awareness was  enough motivation for me to let you in on a camera being shoved up my ass. age of 45 I can t believe you pumped all that Aviation Gin into my IV.  Reynolds later quipped while plugging his booze brand.  I was out like a light. LaPook showed an image of Reynolds  polyp on his computer screen. You are interrupting the natural history of a disease. of something of a process that could have ended up developing into cancer and causing all sorts of problems.  the doctor said.  Instead. you are not only diagnosing the polyp. you are taking it out. Welcome to WrexhamRob McElhenneySee if he was. uh. victorious. below:,Health News
Tucker CarlsonJohn Fetterman(Watch the video below.) Fox Newspreviously poked funCarlson sarcastically noted that he didn t know Fetterman  had a running mate  until he removed his hoodie to reveal a  protrusion. Joe BidenKamala HarrisFast-forward to 25:30 for Carlson s segment on Fetterman:This from a prime-time personality who earlier this month joked about Fetterman s recovery from his medical emergency. Run a wax dummy for office!  Carlson declared.  People who can t form complete sentences apparently seem less threatening to voters. leading in polls,Health News
Hanna SmithsaidThis behavior — anonymously sharing hurtful content about yourself online — is known by researchers and psychologists as  digital self-harm.  and awareness of the problem has grown in recent years.study  We still don t know what comes first.  Justin W. Patchin. the study s lead author. told HuffPost.  But we know they are connected. Patchin. a professor of criminal justice at the University of Wisconsin-Eau Claire. said that he was shocked upon learning of the Smith case and has since worked with colleagues on several studies around digital self-harm in teens.  Digital self-harm occurs when an individual creates an anonymous online account and uses it to publicly send hurtful messages or threats to one s self.  Patchin told HuffPost.  Most commonly ... it manifests as threats or targeted messages of hate — the more extreme and rare forms of cyberbullying. isstudyLike cutting and similar behaviors. digital self-harm is often a cry for help. This is not something that kids do just because they think it s cool.  Cindy Graham. a child psychologist in Maryland. told HuffPost.  They see it as a way to deal with the problem that they re experiencing. Crisis Text Line Digital self-harm can be a way of drawing attention or sympathy for a teen who is struggling and does not feel equipped to ask for help directly.  Turner told HuffPost. Patchin said some of the young people in his research who had engaged in digital self-harm  reported issues with low self-esteem or self-hate.  Others. he said.  did it to be funny or because they wanted attention. In some cases. teens are looking for a certain kind of attention from specific people. posting the remarks online as a sort of test to see if friends will come to their defense.  If there is then the expectation of ‘I ll get a lot of feedback because of this.  then if they don t get that feedback. that can actually worsen symptoms of depression.  said Graham. Bullying and self-harm. either separately or apart. are increasingly an issue for teens. At Crisis Text Line.  conversations about bullying increased by 20% in 2021 compared to 2020. and conversations about self-harm increased by 10% compared to 2020.  Turner said. Unfortunately. parents often have no idea that their child is engaging in digital self-harm. Patchin said he has seen cases in which a child was revealed as the source of their own bullying only after worried parents involved authorities.Because it s impossible to keep tabs on everything that teens do online. and because they are often highly skilled in circumventing parents  digital safeguards — using web browsers to access restricted apps. or creating multiple social media profiles. for example — your best source of information is usually your own child. The best we can do as parents is be there for our kids. so if they are experiencing anything hurtful — online or off — they feel comfortable turning to us for help.  said Patchin. Graham warned against interpreting self-harm as young people  doing it for attention.  That s not the way you want to react to it. [by] dismissing it. because if anything. it can escalate the behavior or cause even more of a regression in how they re functioning. so it can lead to more intense cries for help.  she said. Knowing that you are willing to discuss their mental health issues — and can do so without judgment — opens the door for them to talk about their struggles. You should also encourage children to tell a trusted adult if they are worried that one of their friends may be at risk.  I usually am pretty hesitant about recommending that kids say something to the kid themselves.  Graham said. adding that a school guidance counselor is often a safe. neutral figure to whom a child can anonymously report concern about a friend.  It s never too early to start having those conversations.  she said. since kids may witness instances of bullying or self-harm as soon as they start going online.It can be helpful to keep in touch with the parents of your child s friends. who may hear about an issue with your child before you do.The signs that your teen may be contemplating or engaging in self-harm are similar to those for depression. In fact. Patchin said that in his first study on the topic. his team found that any kind of bullying  was associated with digital self-harm. as well as drug use. depressive symptoms. and offline — physical — self-harm. Parents should be alert to changes in their teen. Turner advised. In addition to behavior like cutting or drug and alcohol use. parents might notice a  loss of interest in activities. changes in friendship circles. withdrawing from friends. increased or decreased sleep. increased or decreased appetite. changes in grades or participation in school activities.  she said.Turner stressed the importance of open communication and a lack of judgment on your part. Most important is to know your child and communicate openly with them as early as you can about their mood swings and your willingness to discuss their mental health.  she said.You should never doubt whether to ask your child if they are thinking about harming themselves. Always ask.  Turner emphasized.  This will not cause them to attempt suicide or self-harm. ,Health News
Bill HaderEmmyCOVID-19about 60.000 Americans a day and killing 330has an autoimmune condition We stan a safe king resisting peer pressure in the year 2022!  author Bev Katz Rosenbaum tweeted.One photo of Hader flashing a peace sign with  Barry  co-star Henry Winkler caught the internet s attention and invited a flood of praise.,Health News
Joe Bidencancer moonshotSpeaking at the John F. Kennedy Presidential Library and Museum in Boston 60 years after the building s namesake gave his famed moonshot speech. Biden appealed to Americans across political lines. saying the nation was poised to end the disease  as we know it. The president harked back to the Kennedy era. comparing the effort to the space race and Americans  ultimate journey to the moon. I believe we can usher in the same unwillingness to postpone. the same national purpose that will serve to energize and measure the best of our skills. to end cancer as we know it. and even cure cancer once and for all.  he said.The effort aims to slash U.S. fatalities from cancers by 50% over the next quarter century and see many more cancers become chronic conditions that are treatable rather than fatal. Cancer is expected to kill more than 609.000 Americans in 2022. according to the Centers for Disease Control and Prevention. a toll exceeded only by deaths from heart disease.Biden added that the plan was  bold. ambitious. and. I might add. completely doable.  pointing to existing technology and the promise of medical advancements. This cancer moonshot is one of the reasons why I ran for president.  Biden said.  Cancer does not discriminate red and blue. It doesn t care if you re a Republican or a Democrat. Beating cancer is something we can do together. Dr. Renee WegrzynBiden said he will sign a new executive order ensuring that such treatments are manufactured in America. an effort he said would enable the country to lead  the world in biotechnology and biomanufacturing. creating jobs and strengthening the supply chain.  It s not enough to invent technology that saves lives.  Biden said.  We need to manufacture advanced biotechnologies here in the United States. The cancer moonshot was first announced in February. and Biden has long urged the nation to come together to eradicate or ease the burden of the disease.The president s son Beau Biden died of brain cancer in 2015.,Health News
John FettermanMehmet Ozgrocery shoppinglack of Pennsylvania rootsmaking fun of a stroke dudeOz s long history of promoting unproven quack treatmentsToo bad there s no miracle cure for being a total fraud.  Fetterman tweeted. alongside a video compilation of Oz toutingstudy revealed that more than half of his medical advice was flat-out wrong.In 2015. a group of prominent doctors urged Columbia University s medical dean to remove Oz from the medical school s faculty. saying that he was  guilty of either outrageous conflicts of interest or flawed judgements about what constitutes appropriate medical treatments. or both. Judging by the response to Fetterman s ad. many Twitter users feel the same way.,Health News
I was elated to become a first-time mother at the age of 40. but afterward I was quite certain I was  one and done.  I even began a Medium blog of the same name. Though my first birth experience was exhilarating in some ways. and I was thrilled to become a mother. my unexpected emergency C-section had left me feeling raw and confused. as well as a lengthy bout of postpartum depression that took me over a year to climb out of. Cut to 2019. with the world at the cusp of the pandemic. My husband and I found ourselves feeling fully recovered from the traumas of baby one. and ready to try for baby two after all. We already had a boy. and while I would be delighted to have had any baby. I had hopes to add a girl to the family. Yet. month after month passed with no blue line. It made sense. I was going on 43. and every article I absorbed offered dismaying tidbits. like that by age 44. the chance of spontaneous pregnancy dropped to zero. discouraging me from thinking I d be getting pregnant using the old fashioned  penis-in-the-vagina method. The average age of first-time mothers ranges from 26 to 32. but according to the CDC. the rate of women having babies in their 40s has been steadily rising about 3% each year since 1982. Some 100.000 Americans over 40 have babies every year. a number that has doubled since 1990. The truth is. I didn t mean to have a baby at age 46. But my partner and I didn t even meet until I was 31. and a few years passed before we felt ready (financially. among other things) to start a family together. By the time we felt prepared to start trying to procreate. the bulk of my 30s were in my rearview mirror. After I started trying at age 38. a series of issues lengthened my timeline— it took me eight years to have two children. Over age 35. expecting women are considered to be carrying  geriatric pregnancies  ― a term which means problems and complications. like placenta previa and miscarriage. are more likely to occur. As a result. in vitro fertilization (IVF) and donor eggs are heavily pushed onto women. both of which are pricey. medically intense and come with their own risks. I didn t want to go through IVF. and my insurance wouldn t cover it. so my OBGY recommended we first test my hormone levels. I left a few vials of blood at a strip mall lab and shortly after. she reported via phone call that my levels were on the low side of average. which meant a pregnancy wasn t completely impossible! So I began peeing on FSH (follicle-stimulating hormone) sticks to track my ovulation and banged on a schedule in hopes of fertilizing one lucky egg. I got very serious about the limited things I could control to help it happen. I completely quit drinking and gave my diet a major overhaul. I stuck to a regular exercise routine. I experimented with some herbs. like stinging nettle. and ate a teaspoon of honey every morning and night for its anti-inflammatory properties.I sucked down every article and book and study I could find on pregnancy for women in their mid-40s. I interviewed friends who had had success or knew people who had to try to find any tiny detail that could help me. I joined a Facebook group of women over 40 trying to conceive. I meditated. I thought good  babyful  thoughts. But the years passed with no luck. I ran into friends who had conceived second children and. while happy for them. I felt sad for myself. I wondered if I could be an adoptive parent. I called an agency and downloaded the application. ruminating on the idea. I even began to consider the costs and hardship of IVF. calling one of the reportedly best area doctors. who was based in New Jersey. The doctor won t even consider working with you unless you use a donor egg.  the intake specialist announced. I hung up. deflated. Where the hell was I going to find a donor egg? Some days I could barely find my keys. And then. after three years of trying. it happened.Because I was so in tune with my cycles from using the FSH sticks. in conjunction with the connected app which tracked my fertility with scary accuracy. I knew I was pregnant two days after I missed my period. At a routine doctor s appointment. I requested a pregnancy test.  Congratulations!  the nurse reported back to me minutes later. I felt sick with joy. While I was thrilled to have gotten pregnant with a baby at the age of 45. I was also pregnant with worry. Would it take? Would it be healthy? Will there even be drinkable water in five years? There were real medical concerns. as well. Rates of complications such as gestational diabetes. higher birth weight. stillbirth. C-section delivery rates and Down syndrome increase as maternal age does. All the things that could go wrong danced around in my head. but much to my surprise and delight. I passed test after test. My myriad blood draws and genetic tests came back fine. As my July due date loomed. contractions began. But then they stopped. Then they started again. Then they stopped. After three days of exhaustive contractions that came on in the night and lasted until the wee morning hours. I had to accept that my labor wasn t progressing. A trip to the doctor s office confirmed I had only dilated 1.5 centimeters. Despite three days of crushing midbody pain. according to medical guidelines. my labor hadn t even actually begun. As I sat in my hospital bed. the decision was easy for me. While having a C-section tops my list of least fun things I ve ever done. I was excited to meet my baby — the girl I d been dreaming about. for so. so long. I felt absolute elation when I heard my second baby s first cries. After three long years. my baby girl had safely arrived. Later. I asked one of the nurses.  Am I one of the oldest moms you ve seen in here?  She laughed.  We see women in their 40s all the time.  she said.  A few days ago. we had a mom deliver who was 51! While my last birth took me close to three years to fully recover from. this time. recovery was a snap. I was mostly without family or visitors. I couldn t see my son or let him meet his new sister for the four days following surgery due to COVID restrictions. and also the fact that my husband was caring for our son ― but I felt fine being alone to bond with the new baby. Looking back. I can say that giving birth for the second time. now at age 46. was a truly enjoyable experience. In fact. it was fucking awesome. I felt and feel like a powerhouse lady wizard who. with an assist from Ma Nature. made a human using just my mind and my vagina. I guess my partner helped a little. too. The road to my second pregnancy was long. At one point. I gave in to the fact that it probably wouldn t happen. But hey. I was going to have sex with my husband anyway. so I kept a glimmer of hope alive.I know my pregnant-at-age-46 story has a happy ending. and that it doesn t have the same ending for everyone. I have heard about all the miscarriages. the wasted time and money of unsuccessful IVF. the agony and heartbreak of the people who never get to see that blue line. and worse. I don t know why it worked out for me and not for others. My heart is with those who will read my story and feel anger. jealousy. fear and pain. And when I was searching for encouragement and answers. I found so much doom and gloom: people who chided me for my pregnancy plans. societal judgment. articles that shamed mothers who waited until later in life to start their families. and I was reminded at every click of the less-than-optimistic birth statistics we older moms face. But for those of us who are unable to afford medical interventions to get pregnant or who are reluctant to go through those processes. rest assured that pregnancy can and does happen to us people at the top of the  You re too old to get naturally pregnant  charts.There are downsides to being an older mom. When I m 50. my daughter will be 4. Some of my friends will be seeing their kids getting married while I m still changing diapers. I may never get to meet my kids  grandchildren or even see my children graduate college. depending on what s in store for me.The future is uncertain. But that is the case for mothers of any age.And despite the hard parts. when my family is together. laughing and smiling. I can genuinely say it was all worth it. Do you have a compelling personal story you d like to see published on HuffPost? Find out what we re looking for here and send us a pitch.,Health News
Many of us think of diet soda as a way to have our soda and drink it. too. You get the experience of drinking soda. but not the calories and sugar that come with it. And while health experts aren t exactly gung-ho about diet soda. researchers are still working to understand exactly what it does to the human body. First things first: Drinking one to two cans of diet soda per day likely won t hurt you— and contrary to popular belief. there isn t credible evidence that diet soda causes cancer.although a possible connection is still being studied continuously. But it can be helpful to know just how diet soda could be affecting your body in some not-so-great ways. especially if you re a regular consumer of it. Here s everything you need to know. If you think diet soda can help you lose weight. you may want to think twice about that theory. Even though diet soda doesn t contain sugar or calories. it can actually make you crave sugar. According to a 2021 study. beverages that are made with sucralose — a no-calorie sweetener used in many diet sodas — may stimulate appetite in some people. Another study found that the artificial sweeteners aspartame and saccharin are linked with an increase in appetite and an increased risk of obesity.Additionally. an older studyfrom 2010 found that aspartame and sucralose could increase sugar cravings. There s some research to suggest that diet soda could be detrimental to your heart health.  Diet sodas are often loaded with artificial sweeteners. which can have harmful effects on blood sugar levels and insulin sensitivity. In addition. diet sodas tend to be acidic. which can promote inflammation and contribute to heart disease.  explained Dr. Alice Williams. studyIf you re working to keep your gut health on track. you may want to be wary of diet soda. Nutritive sweeteners found in diet drinks. like polyols. could negatively impact your gut health. according to ​​Divya Nair. the head of microbiology at probiotics company Sun Genomics. One study looked at the effect of polyols on both healthy and IBS patients.  Nair said.  Gastrointestinal symptoms were observed in both healthy individuals and irritable bowel syndrome (IBS) patients including symptoms such as bloating. abdominal discomfort. and laxative effects when consumed in healthy volunteers and patients with IBS.  If you re headache-prone. you may want to examine your diet soda habit.  Diet soda [often] contains caffeine. and caffeine can causes headaches in some people as it constricts blood vessels.  Williams said.  Additionally. caffeine is a diuretic. which can lead to dehydration. another possible cause of headaches. If you re one of those people who gets headaches without caffeine. there is also some evidence that artificial sweeteners like aspartame and sucralose are correlated with headaches. When diet sodas are consumed on a regular basis. they can have a detrimental impact on short- and long-term brain health. according to Dr. Annie Fenn. a physician. culinary instructor and founder of Brain Health Kitchen. In one of the most compelling studies to date. published in the journal Stroke. Boston University researchers analyzed the drinking habits of over 4000 healthy participants between 1998 and 2011.  she said.  After correcting the findings for confounding factors like age. sex. education. caloric intake. diet quality. physical activity. and smoking. the diet soda-drinking men and women ended up getting Alzheimer s disease 2.89 more times and stroke 2.96 more times when compared to those who did not drink diet sodas. And the results show that the risks went up with each serving of diet soda consumed. she added.One small study published in August found that the artificial sweeteners sucralose and saccharin can interfere with the body s insulin response.  When an impaired insulin response plays out multiple times a day over years. it can lead to insulin resistance—meaning target organs (like your brain) no longer respond to insulin.  Fenn said.  The result? Glucose roams freely in the bloodstream. creating inflammatory particles that seep across the blood-brain barrier and damage the tiny blood vessels there. Diet sodas may be correlated with decreased bone density. due to the fact that diet sodas contain high levels of phosphates. which can leach calcium from bones. according to Williams.  As a result. regular consumption of diet soda may increase the risk of osteoporosis.  she said.Additionally. one study found that intake of both regular cola and diet cola ― but not other carbonated beverages ― is associated with a lower bone mass density in women.While this information may not be the best news for the diet soda drinkers among us. keep in mind that what diet soda actually does to the body is still being studied. But if you want to err on the side of caution. it s probably best to keep your diet soda consumption on the moderate side.,Health News
